timeinterval,price_shortage,price_surplus,regulation_state,jaar
2015-01-06 05:30:00,350.12,350.12,1,2015
2015-01-06 05:45:00,50.89,50.89,1,2015
2015-01-06 06:00:00,48.66,35.41,2,2015
2015-01-06 06:15:00,60.89,35.41,2,2015
2015-01-06 06:30:00,350.12,350.12,1,2015
2015-01-06 06:45:00,350.12,350.12,1,2015
2015-01-06 07:00:00,47.12,38.17,2,2015
2015-01-06 07:15:00,67.12,37.79,2,2015
2015-01-06 07:30:00,66.12,66.12,1,2015
2015-01-06 07:45:00,350.12,350.12,1,2015
2015-01-06 08:00:00,48.73,48.73,1,2015
2015-01-06 08:15:00,45.87,45.87,1,2015
2015-01-06 08:30:00,59.12,59.12,1,2015
2015-01-06 08:45:00,78.0,78.0,1,2015
